NFR,percentile_80_target,percentile_95_target
Perf_1,1.6,2
Perf_2,2.4,3
Perf_3,1.6,2
Perf_4,2.4,3
Perf_5,24,30
Perf_6,24,30
Perf_7,2.4,3
Perf_7a,4,5
Perf_7b,4.8,6
Perf_8,1.6,2
Perf_8a,2.4,3
Perf_8b,3.2,4
Perf_11,2.1,3.6
Perf_32,0.5d,0.6d
Perf_33,0.8d,1.0d
Perf_34,0.35d,0.45d
Perf_35,2e,2.5e
Mailboxes,60,90


transaction,NFR
EosFO_PartyTabs_060_ClickTaxCodes,Perf_1
EosFO_PartyTabs_070_ClickTasks,Perf_1
EosFO_PartyTabs_080_ClickRelationships,Perf_1
EosFO_PartyTabs_080_ClickRelationships_03,Perf_1
EosFO_PartyTabs_090_CloseParty,Perf_1
EosFO_ProviderSearch_010_OpenPartySearch,Perf_1
EosFO_ProviderSearch_020_Click_P_V_F_Tab,Perf_1
EosFO_ProviderSearch_030_ClickSearch,Perf_1
EosFO_ProviderSearch_040_Close,Perf_1
EosFO_RTE_050_ClickEarningsAndExclusionsPeriods,Perf_1
EosFO_RTE_060_ClickCollectionPeriods,Perf_1
EosFO_RTE_070_AddCollectionPeriodForDOFIWithEffectiveDateToday,Perf_1
EosFO_RTE_080_ClickCollectionPointData,Perf_1
EosFO_RTE_085_EditEarningAndExclusionPeriod,Perf_1
EosFO_RTE_090_ClickRTE,Perf_2
EosFO_RTE_100_ClickNext,Perf_2
EosFO_RTE_110_CloseRTE,Perf_2
EosFO_RTE_120_CancelEdit,Perf_2
EosFO_RTE_13_CloseClaim,Perf_2
EosFO_SendEmail_010_OpenClaimant,Perf_7
EosFO_SendEmail_020_EditExistingEmail,Perf_1
EosFO_SendEmail_021_AddEmail,Perf_1
EosFO_SendEmail_030_VerificationStatus,Perf_1
EosFO_SendEmail_031_AddEmailVerificationStatus,Perf_1
EosFO_SendEmail_040_SubmitDetails,Perf_4
EosFO_SendEmail_041_AddEmailSubmit,Perf_4
EosFO_SendEmail_050_SubmitDetailsOK,Perf_4
EosFO_SendEmail_060_SendEmailFromClaimant,Perf_4
EosFO_SendEmail_070_CloseClaimant,Perf_7
EosFO_SurgeryQE_010_SelectSurgeryQE,Perf_1
EosFO_SurgeryQE_020_EnterEntitlementCode,Perf_4
EosFO_SurgeryQE_030_VendorSearch,Perf_4
EosFO_SurgeryQE_040_VendorSelect,Perf_4
EosFO_SurgeryQE_050_CreatePO,Perf_4
EosFO_SurgeryQE_060_AuthorisePO,Perf_4
EosFO_TransactionView_030_ClickTransactions,Perf_1
EosFO_TreatmentLimit_030_ClickEntitlements,Perf_1
EosFO_TreatmentLimit_040_ClickTreatmentRegulated,Perf_1
EosFO_UpdateClt_010_OpenParty,Perf_1
EosFO_UpdateClt_020_SearchParty,Perf_7
EosFO_UpdateClt_030_EditParty,Perf_3
EosFO_UpdateClt_040_ChangeAddress,Perf_3
EosFO_UpdateClt_050_AddressLookup,Perf_3
EosFO_UpdateClt_051_AddressLookup,Perf_3
EosFO_UpdateClt_052_AddressLookup,Perf_3
EosFO_UpdateClt_060_AddressSelect,Perf_4
EosFO_UpdateClt_070_ClickVerified,Perf_4
EosFO_UpdateClt_080_AddressOkChange,Perf_4
EosFO_UpdateClt_090_OkEdit,Perf_4
EosFO_UpdateClt_100_PartyClose,Perf_1
EosFO_UpdateClt_110_PartySearchNew,Perf_3
EosFO_UpdateClt_120_PartySearchCancel,Perf_1
EosFO_UploadDocument_010_ClickDocuments,Perf_1
EosFO_UploadDocument_020_DocumentAdd,Perf_4
EosFO_UploadDocument_030_DocumentOKAdd,Perf_4
EosFO_UploadDocument_040_DocumentSelectType,Perf_4
EosFO_VendorSearch_010_OpenPartySearch,Perf_1
EosFO_VendorSearch_020_Click_P_V_F_Tab,Perf_1
EosFO_VendorSearch_030_ClickSearch,Perf_1
EosFO_ViewDoc_030_ClickDocs_complex,Perf_3
EosFO_ViewDoc_030_ClickDocs_medium,Perf_3
EosFO_ViewDoc_030_ClickDocs_simple,Perf_3
